molecule_chembl_id,molecule_name,formula,total_assays,median_IC50_uM,Active,Inactive
CHEMBL103049,Trans-Amminedichloro hexylamine platinium (II),C6H16Cl2N2Pt,8,4.45,8,0
CHEMBL102856,"trans-a-Ammine-b,d-dichloro-c,e-dihydrooxy-f-(Morphiline)-platinium (IV)",C4H12Cl2N2O3Pt,8,37.65,7,1
CHEMBL102644,trans-Amminedibromo (cyclohexylamine)-platinium (II),C6H14Br2N2Pt,8,4.5,8,0
CHEMBL102583,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(N-methylcyclohexylamine)-platinium (IV)",C7H18Cl2N2O2Pt,8,2.5999999999999996,8,0
CHEMBL102282,Platinum complex,CH8Cl2N2O2Pt,8,31.75,7,1
CHEMBL186705,Estrogen platinum (II) hybrid derivative,C6H8Cl2N2Pt+2,7,25.2,7,0
CHEMBL171155,Platinum (II) complex,C9H14N2O6Pt,7,4.89,7,0
CHEMBL171156,Platinum (II) complex,C12H18N2O6Pt,7,8.98,6,1
CHEMBL368259,Platinum (II) complex,C8H12N2O6Pt,7,5.4,7,0
CHEMBL34868,Estrogen platinum (II) hybrid derivative,C7H10Cl2N2Pt+2,7,27.8,7,0
CHEMBL367622,DICHLORO(ETHYLENEDIAMINE) PLATINUM (II),C2H6Cl2N2Pt,7,1.03,6,1
CHEMBL1627738,Estrogen platinum (II) hybrid derivative,C31H46Cl2N2O3Pt,7,18.4,7,0
CHEMBL171079,Platinum (II) complex,C6H12Cl2N2O2Pt,7,2.51,7,0
CHEMBL1743584,"Cis-[Pt(1,3-diaminepropane)2(O-Succinate)2]",C14H24N4O8Pt,6,200000.0,0,6
CHEMBL2068310,Tetrachlorodi(4-hydroxybutylamine)platinum(IV),C8H20Cl4N2O2Pt,6,5.5,6,0
CHEMBL2068316,Tetrachlorodi(3-hydroxypropylamine)platinum(IV),C6H16Cl4N2O2Pt,6,4.0,6,0
CHEMBL1743585,Platinum complex,C18H32N4O8Pt,6,200000.0,0,6
CHEMBL2146193,Trans-[PtCl2(isopropylamine)(propylamine)],C6H18Cl2N2Pt,6,37.5,6,0
CHEMBL2146194,Trans-[PtCl2(butylamine)(isopropylamine)],C7H20Cl2N2Pt,6,28.0,6,0
CHEMBL2146185,Platinum complex,C15H11B2ClF8N3Pt-,6,13.05,6,0
CHEMBL213916,"4'-chloro-2,2':6,2''-Terpyridineplatinum (II) complex",C50H42N18O18Pt3+10,6,1.6,6,0
CHEMBL2068442,"Cis-[Pt(1,3-diaminepropane) 1,1-cyclobutanedicarboxylate]",C9H14N2O4Pt,6,6250.0,0,6
CHEMBL2068372,trans-ptcl2(IPA)(pz),C7H17Cl2N3Pt,6,34.0,5,1
CHEMBL2068376,trans-ptcl2(n-butyl amine)(pz),C8H19Cl2N3Pt,6,23.5,6,0
CHEMBL1794811,"Cis-[Pt(1,3-diaminepropane)2(O-Maleate)2]",C14H22N4O8Pt+2,6,200000.0,0,6
CHEMBL2068312,Dichloro diacetyl oxy-(amino ethylamino ethanol) platinum,C8H16Cl2N2O5Pt,6,7.0,6,0
CHEMBL2068258,"Cis-[Pt(1,3-diaminebutane) 1,1-cyclobutanedicarboxylate]",C10H16N2O4Pt,6,4650.0,0,6
CHEMBL1794812,Platinum complex,C16H26N4O8Pt+2,6,200000.0,0,6
CHEMBL1743583,"Cis-[Pt(1,3-diaminebutane)2(OH)2] 1,1-cyclobutanedicarboxylate",C12H24N4O6Pt,6,200000.0,0,6
CHEMBL2068480,Platinum complex,C8H18Cl2N4Pt,6,43.0,5,1
CHEMBL2068496,trans-ptcl2(pip)(pz),C9H19Cl2N3Pt,6,50.5,5,1
CHEMBL217630,Platinum complex,C48H46B4F16N12O2Pt2+8,6,41.0,6,0
CHEMBL2146195,Platinum complex,C30H26Cl2N4O4Pt,6,0.625,6,0
CHEMBL2146200,Platinum complex,C6H18Cl2N2Pt,6,79.0,4,2
CHEMBL217343,Platinum complex,C42H32B4F16N8Pt2+8,6,1.475,6,0
CHEMBL441330,"(2,2':6',2''-terpyridine)platinum (II) complex",C24H25B2F8N5OPt+4,6,100.0,2,4
CHEMBL6961,Platinum complex,C22H22B2F8N6Pt+4,6,6.15,6,0
CHEMBL98681,Pt(II) Complex,C10H22Cl4N4Pt2,6,32.5,5,1
CHEMBL6963,"(2,2':6',2''-terpyridine)platinum (II) complex",C15H13B2F8N4Pt+3,6,8.35,6,0
CHEMBL98680,Platinum complex,C14H32Cl6N6Pt3,6,40.0,5,1
CHEMBL611448,Pt(II) Complex,C14H44Cl12N6Pt3,6,112.5,2,4
CHEMBL336530,Trans-[PtCl2(dimethylamine)isopropylamine)] (tdmaipa),C5H14Cl2N2Pt,6,24.5,6,0
CHEMBL324865,Platinum complex,C18H14B2F8N5Pt+3,6,16.75,4,2
CHEMBL147416,trans-[ptcl2(4-pic)(pz)] HCl,C10H18Cl2N3Pt+3,6,5.3,6,0
CHEMBL321706,Platinum complex,C17H14B2F8N4Pt+4,6,34.25,4,2
CHEMBL266471,"(2,2':6',2''-terpyridine)platinum (II) complex",C27H21B2BrF8N4Pt+4,6,17.65,5,1
