molecule_chembl_id,molecule_name,formula,target_pref_name,assay_description,standard_relation,IC50_uM,pchembl_value,standard_units
CHEMBL103122,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxy-f-(benzylamine)-platinium (IV)",C7H12Cl2N2O2Pt,CH1,In vitro antitumor activity against CH1cisR cell line.,=,1.9,5.72,nM
CHEMBL103122,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxy-f-(benzylamine)-platinium (IV)",C7H12Cl2N2O2Pt,HX62 cell line,In vivo antitumor activity against HX/62 cell line.,=,10.2,4.99,nM
CHEMBL103122,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxy-f-(benzylamine)-platinium (IV)",C7H12Cl2N2O2Pt,A2780,In vitro antitumor activity against A2780cisR cell line.,=,4.2,5.38,nM
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,CH1,In vitro antitumor activity against CH1 cell line.,=,0.74,6.13,nM
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,41M,In vitro antitumor activity against 41McisR cell line.,=,0.9,6.05,nM
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,A2780,In vitro antitumor activity against A2780 cell line.,=,0.21,6.68,nM
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,A2780,In vitro antitumor activity against A2780cisR cell line.,=,4.2,5.38,nM
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,41M,In vitro antitumor activity against 41M cell line.,=,1.1,5.96,nM
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,SK-OV-3,In vitro antitumor activity against SK-OV-3 cell line.,=,34.0,4.47,nM
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,41M,In vitro antitumor activity against 41M cell line.,=,4.5,5.35,nM
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,SK-OV-3,In vitro antitumor activity against SK-OV-3 cell line.,=,4.7,5.33,nM
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,CH1,In vitro antitumor activity against CH1 cell line.,=,1.1,5.96,nM
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,CH1,In vitro antitumor activity against CH1cisR cell line.,=,3.4,5.47,nM
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,A2780,In vitro antitumor activity against A2780 cell line.,=,0.8,6.10,nM
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,CH1,In vitro antitumor activity against CH1cisR cell line.,=,1.62,5.79,nM
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,HX62 cell line,In vivo antitumor activity against HX/62 cell line.,=,50.0,4.30,nM
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,41M,In vitro antitumor activity against 41McisR cell line.,=,8.0,5.10,nM
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,HX62 cell line,In vivo antitumor activity against HX/62 cell line.,=,1.8,5.75,nM
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,A2780,In vitro antitumor activity against A2780cisR cell line.,=,8.5,5.07,nM
CHEMBL103347,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(exo-2-aminonorbornane)-platinium (IV)",C7H14Cl2N2Pt,HX62 cell line,In vivo antitumor activity against HX/62 cell line.,=,5.6,5.25,nM
CHEMBL103347,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(exo-2-aminonorbornane)-platinium (IV)",C7H14Cl2N2Pt,SK-OV-3,In vitro antitumor activity against SK-OV-3 cell line.,=,4.4,5.36,nM
CHEMBL103347,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(exo-2-aminonorbornane)-platinium (IV)",C7H14Cl2N2Pt,41M,In vitro antitumor activity against 41M cell line.,=,1.4,5.85,nM
CHEMBL103347,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(exo-2-aminonorbornane)-platinium (IV)",C7H14Cl2N2Pt,41M,In vitro antitumor activity against 41McisR cell line.,=,1.5,5.82,nM
