Molecule,Density of all electrons_N_4(N),Density of Alpha electrons_N_4(N),Density of Beta electrons_N_4(N),Lagrangian kinetic energy G(r)_N_4(N),Hamiltonian kinetic energy K(r)_N_4(N),Potential energy density V(r)_N_4(N),Energy density E(r) or H(r)_N_4(N),Laplacian of electron density_N_4(N),Electron localization function (ELF)_N_4(N),Localized orbital locator (LOL)_N_4(N),Local information entropy_N_4(N),Sign(lambda2)*rho_N_4(N),Sign(lambda2)*rho with promolecular approximation_N_4(N),Average local ionization energy (ALIE)_N_4(N),Delta-g (under promolecular approximation)_N_4(N),Delta-g (under Hirshfeld partition)_N_4(N),ESP from nuclear charges_N_4(N),ESP from electrons_N_4(N),Total ESP_N_4(N)
CHEMBL1743593-conf_6,0.1954527748E+03,0.9772638742E+02,0.9772638742E+02,0.1866524214E+02,0.3672932749E+06,-0.3673119402E+06,-0.3672932749E+06,-0.1469098439E+07,0.9999990247E+00,0.9990134178E+00,-0.1309824041E+01,-0.1931623677E+03,-0.1931623677E+03,0.1415387632E+02,0.5025640713E-01,0.7128860145E-01,0.2269750821E+07,-0.3593807818E+02,0.2269714883E+07
CHEMBL1743593-conf_7,0.1954558448E+03,0.9772792238E+02,0.9772792238E+02,0.1866663099E+02,0.3673009397E+06,-0.3673196064E+06,-0.3673009397E+06,-0.1469129092E+07,0.9999990246E+00,0.9990133702E+00,-0.1309875313E+01,-0.1931622956E+03,-0.1931622956E+03,0.1415350783E+02,0.5053225337E-01,0.7160907894E-01,0.2274381863E+07,-0.3595279303E+02,0.2274345910E+07
CHEMBL1743593-conf_8,0.1954578046E+03,0.9772890230E+02,0.9772890230E+02,0.1866762903E+02,0.3673041192E+06,-0.3673227868E+06,-0.3673041192E+06,-0.1469141806E+07,0.9999990246E+00,0.9990133340E+00,-0.1309908046E+01,-0.1931623377E+03,-0.1931623377E+03,0.1415372502E+02,0.5056417726E-01,0.7165658081E-01,0.2278199966E+07,-0.3599459925E+02,0.2278163971E+07
CHEMBL1743593-conf_9,0.1954644096E+03,0.9773220479E+02,0.9773220479E+02,0.1864908909E+02,0.3673184044E+06,-0.3673370535E+06,-0.3673184044E+06,-0.1469199021E+07,0.9999990266E+00,0.9990143684E+00,-0.1310018362E+01,-0.1931623251E+03,-0.1931623251E+03,0.1415370412E+02,0.5026843563E-01,0.7129342872E-01,0.2283868429E+07,-0.3584179813E+02,0.2283832587E+07
CHEMBL1743594,0.1954863779E+03,0.9774318895E+02,0.9774318895E+02,0.1872467354E+02,0.3673666610E+06,-0.3673853857E+06,-0.3673666610E+06,-0.1469391745E+07,0.9999990191E+00,0.9990105628E+00,0.1616294308E+00,-0.1931643582E+03,-0.1931643582E+03,0.1414691020E+02,0.4992499474E-01,0.7099455225E-01,0.2951774201E+07,-0.5066398254E+02,0.2951723537E+07
CHEMBL1743594-conf_1,0.1955067747E+03,0.9775338737E+02,0.9775338737E+02,0.1880884416E+02,0.3674226027E+06,-0.3674414116E+06,-0.3674226027E+06,-0.1469615176E+07,0.9999990106E+00,0.9990062921E+00,0.1615605896E+00,-0.1931660993E+03,-0.1931660993E+03,0.1409718941E+02,0.4863510921E-01,0.6985467466E-01,0.4105207086E+07,-0.5342182862E+02,0.4105153664E+07
CHEMBL1743594-conf_10,0.1954917614E+03,0.9774588072E+02,0.9774588072E+02,0.1872603339E+02,0.3673854026E+06,-0.3674041286E+06,-0.3673854026E+06,-0.1469466706E+07,0.9999990190E+00,0.9990105364E+00,0.1616112617E+00,-0.1931640238E+03,-0.1931640238E+03,0.1411946478E+02,0.4992942173E-01,0.7106196263E-01,0.2801998649E+07,-0.5131949378E+02,0.2801947329E+07
CHEMBL1743594-conf_2,0.1954891867E+03,0.9774459333E+02,0.9774459333E+02,0.1876436344E+02,0.3673852364E+06,-0.3674040008E+06,-0.3673852364E+06,-0.1469465888E+07,0.9999990150E+00,0.9990084913E+00,0.1616199516E+00,-0.1931653110E+03,-0.1931653110E+03,0.1411127937E+02,0.4907425865E-01,0.7006984010E-01,0.3553296698E+07,-0.5295121208E+02,0.3553243746E+07
CHEMBL1743594-conf_3,0.1954849670E+03,0.9774248348E+02,0.9774248348E+02,0.1872450273E+02,0.3673689960E+06,-0.3673877205E+06,-0.3673689960E+06,-0.1469401086E+07,0.9999990191E+00,0.9990105599E+00,0.1616341926E+00,-0.1931645662E+03,-0.1931645662E+03,0.1412031514E+02,0.4997301718E-01,0.7106439445E-01,0.3058290741E+07,-0.5202282430E+02,0.3058238718E+07
CHEMBL1743594-conf_4,0.1955053575E+03,0.9775267875E+02,0.9775267875E+02,0.1881690249E+02,0.3674178912E+06,-0.3674367081E+06,-0.3674178912E+06,-0.1469596297E+07,0.9999990097E+00,0.9990058548E+00,0.1615653732E+00,-0.1931662568E+03,-0.1931662568E+03,0.1409883622E+02,0.4840909692E-01,0.6955850566E-01,0.4221446426E+07,-0.5334352994E+02,0.4221393082E+07
