Molecule,Density of all electrons_N-1_4(N),Density of Alpha electrons_N-1_4(N),Density of Beta electrons_N-1_4(N),Lagrangian kinetic energy G(r)_N-1_4(N),Hamiltonian kinetic energy K(r)_N-1_4(N),Potential energy density V(r)_N-1_4(N),Energy density E(r) or H(r)_N-1_4(N),Laplacian of electron density_N-1_4(N),Electron localization function (ELF)_N-1_4(N),Localized orbital locator (LOL)_N-1_4(N),Local information entropy_N-1_4(N),Sign(lambda2)*rho_N-1_4(N),Sign(lambda2)*rho with promolecular approximation_N-1_4(N),Average local ionization energy (ALIE)_N-1_4(N),Delta-g (under promolecular approximation)_N-1_4(N),Delta-g (under Hirshfeld partition)_N-1_4(N),ESP from nuclear charges_N-1_4(N),ESP from electrons_N-1_4(N),Total ESP_N-1_4(N)
CHEMBL1743594-conf_8,0.1954940035E+03,0.9774689501E+02,0.9774710854E+02,0.1869930392E+02,0.3673806343E+06,-0.3673993336E+06,-0.3673806343E+06,-0.1469447740E+07,0.9999990219E+00,0.9990119662E+00,0.1588124281E+00,-0.1931649272E+03,-0.1931649272E+03,0.1423451962E+02,0.4963438375E-01,0.7055989654E-01,0.3365933602E+07,-0.5219185903E+02,0.3365881410E+07
CHEMBL1743594-conf_9,0.1955129877E+03,0.9775763514E+02,0.9775535260E+02,0.1872723849E+02,0.3674297869E+06,-0.3674485142E+06,-0.3674297869E+06,-0.1469644239E+07,0.9999990193E+00,0.9990106516E+00,0.1587477442E+00,-0.1931659756E+03,-0.1931659756E+03,0.1421856671E+02,0.4890021305E-01,0.6971908488E-01,0.4359753485E+07,-0.5314077415E+02,0.4359700344E+07
CHEMBL2068442,0.1954465263E+03,0.9772225655E+02,0.9772426977E+02,0.1873866202E+02,0.3672847186E+06,-0.3673034573E+06,-0.3672847186E+06,-0.1469063920E+07,0.9999990169E+00,0.9990094881E+00,-0.5656746961E+00,-0.1931628583E+03,-0.1931628583E+03,0.1403109298E+02,0.5010176484E-01,0.7133738066E-01,0.2272246245E+07,-0.3911934226E+02,0.2272207126E+07
CHEMBL2068442-conf_1,0.1954465263E+03,0.9772225653E+02,0.9772426978E+02,0.1873866191E+02,0.3672847186E+06,-0.3673034573E+06,-0.3672847186E+06,-0.1469063920E+07,0.9999990169E+00,0.9990094882E+00,-0.5656746961E+00,-0.1931628583E+03,-0.1931628583E+03,0.1403109298E+02,0.5010176108E-01,0.7133737467E-01,0.2272246507E+07,-0.3911934064E+02,0.2272207388E+07
CHEMBL2068442-conf_2,0.1954452503E+03,0.9772159045E+02,0.9772365989E+02,0.1874282078E+02,0.3672820107E+06,-0.3673007535E+06,-0.3672820107E+06,-0.1469053072E+07,0.9999990165E+00,0.9990092578E+00,-0.5656614093E+00,-0.1931628881E+03,-0.1931628881E+03,0.1403181133E+02,0.5017395246E-01,0.7145375038E-01,0.2273665443E+07,-0.3913723904E+02,0.2273626306E+07
CHEMBL2068442-conf_3,0.1954404627E+03,0.9771922286E+02,0.9772123982E+02,0.1874329755E+02,0.3672743686E+06,-0.3672931119E+06,-0.3672743686E+06,-0.1469022501E+07,0.9999990164E+00,0.9990091922E+00,-0.5656115557E+00,-0.1931626996E+03,-0.1931626996E+03,0.1403305465E+02,0.5000361789E-01,0.7122869730E-01,0.2220148423E+07,-0.3911684741E+02,0.2220109306E+07
CHEMBL611190,0.1954731966E+03,0.9773515758E+02,0.9773803900E+02,0.1866390841E+02,0.3673256230E+06,-0.3673442870E+06,-0.3673256230E+06,-0.1469227837E+07,0.9999990252E+00,0.9990136598E+00,-0.9017112943E+00,-0.1931637451E+03,-0.1931637451E+03,0.1416648615E+02,0.4985827064E-01,0.7066360082E-01,0.2849458848E+07,-0.3834856643E+02,0.2849420499E+07
CHEMBL611190-conf_1,0.1954746895E+03,0.9773606476E+02,0.9773862477E+02,0.1865872762E+02,0.3673319302E+06,-0.3673505889E+06,-0.3673319302E+06,-0.1469253086E+07,0.9999990258E+00,0.9990139458E+00,-0.9017311636E+00,-0.1931635815E+03,-0.1931635815E+03,0.1417097093E+02,0.4980881482E-01,0.7062790427E-01,0.2792334430E+07,-0.3813205542E+02,0.2792296298E+07
CHEMBL611190-conf_10,0.1954596933E+03,0.9772845022E+02,0.9773124311E+02,0.1867423726E+02,0.3673037526E+06,-0.3673224268E+06,-0.3673037526E+06,-0.1469140313E+07,0.9999990239E+00,0.9990130009E+00,-0.9015315888E+00,-0.1931638918E+03,-0.1931638918E+03,0.1417153047E+02,0.5011593751E-01,0.7117103438E-01,0.2852552211E+07,-0.3823080152E+02,0.2852513980E+07
CHEMBL611190-conf_2,0.1954618379E+03,0.9772961330E+02,0.9773222458E+02,0.1867585721E+02,0.3673111020E+06,-0.3673297779E+06,-0.3673111020E+06,-0.1469169705E+07,0.9999990238E+00,0.9990129334E+00,-0.9015601286E+00,-0.1931638498E+03,-0.1931638498E+03,0.1417316040E+02,0.5002011226E-01,0.7104132577E-01,0.2853015752E+07,-0.3815638248E+02,0.2852977596E+07
CHEMBL611190-conf_3,0.1954804440E+03,0.9773967859E+02,0.9774076544E+02,0.1868192465E+02,0.3673491586E+06,-0.3673678405E+06,-0.3673491586E+06,-0.1469321907E+07,0.9999990234E+00,0.9990127696E+00,-0.9018077490E+00,-0.1931637915E+03,-0.1931637915E+03,0.1416730974E+02,0.4981131926E-01,0.7064824349E-01,0.2825052364E+07,-0.3837106721E+02,0.2825013993E+07
CHEMBL611190-conf_4,0.1954801551E+03,0.9773915931E+02,0.9774099580E+02,0.1868007792E+02,0.3673483236E+06,-0.3673670037E+06,-0.3673483236E+06,-0.1469318574E+07,0.9999990236E+00,0.9990128646E+00,-0.9018039038E+00,-0.1931638303E+03,-0.1931638303E+03,0.1416714920E+02,0.4986540702E-01,0.7071935565E-01,0.2835994817E+07,-0.3832865064E+02,0.2835956489E+07
CHEMBL611190-conf_5,0.1954728543E+03,0.9773547676E+02,0.9773737758E+02,0.1865616093E+02,0.3673265358E+06,-0.3673451920E+06,-0.3673265358E+06,-0.1469231519E+07,0.9999990260E+00,0.9990140659E+00,-0.9017067395E+00,-0.1931638120E+03,-0.1931638120E+03,0.1417076303E+02,0.5019789823E-01,0.7123910864E-01,0.2849953396E+07,-0.3803780492E+02,0.2849915358E+07
CHEMBL611190-conf_6,0.1954765496E+03,0.9773689601E+02,0.9773965355E+02,0.1865557255E+02,0.3673327186E+06,-0.3673513741E+06,-0.3673327186E+06,-0.1469256252E+07,0.9999990261E+00,0.9990141280E+00,-0.9017559181E+00,-0.1931637032E+03,-0.1931637032E+03,0.1416690346E+02,0.4994817829E-01,0.7079011062E-01,0.2846347631E+07,-0.3828999764E+02,0.2846309341E+07
CHEMBL611190-conf_7,0.1954737059E+03,0.9773575299E+02,0.9773795289E+02,0.1867169122E+02,0.3673269935E+06,-0.3673456652E+06,-0.3673269935E+06,-0.1469233287E+07,0.9999990244E+00,0.9990132532E+00,-0.9017180724E+00,-0.1931639360E+03,-0.1931639360E+03,0.1416696490E+02,0.4988523555E-01,0.7071403895E-01,0.2923834384E+07,-0.3832705112E+02,0.2923796057E+07
CHEMBL611190-conf_8,0.1954706149E+03,0.9773374385E+02,0.9773687110E+02,0.1865464396E+02,0.3673208263E+06,-0.3673394810E+06,-0.3673208263E+06,-0.1469208687E+07,0.9999990261E+00,0.9990141272E+00,-0.9016769365E+00,-0.1931640948E+03,-0.1931640948E+03,0.1416672974E+02,0.5042417612E-01,0.7158736838E-01,0.2926645245E+07,-0.3822411787E+02,0.2926607021E+07
CHEMBL611190-conf_9,0.1954756032E+03,0.9773681182E+02,0.9773879140E+02,0.1867073856E+02,0.3673376215E+06,-0.3673562922E+06,-0.3673376215E+06,-0.1469275803E+07,0.9999990245E+00,0.9990133194E+00,-0.9017433236E+00,-0.1931634949E+03,-0.1931634949E+03,0.1417137705E+02,0.4962903065E-01,0.7033020580E-01,0.2750656186E+07,-0.3820818570E+02,0.2750617978E+07
carboplatin,,,,,,,,,,,,,,,,,,,
carboplatin-conf_1,0.1953794561E+03,0.9768762389E+02,0.9769183224E+02,0.1874526891E+02,0.3671400584E+06,-0.3671588036E+06,-0.3671400584E+06,-0.1468485252E+07,0.9999990151E+00,0.9990085728E+00,-0.9952266816E+00,-0.1931618262E+03,-0.1931618262E+03,0.1403945658E+02,0.5397554314E-01,0.7527038321E-01,0.2043532052E+07,-0.3428157573E+02,0.2043497771E+07
cisplatin,0.1953864361E+03,0.9769561727E+02,0.9769081887E+02,0.1875487764E+02,0.3671572183E+06,-0.3671759731E+06,-0.3671572183E+06,-0.1468553854E+07,0.9999990142E+00,0.9990081242E+00,-0.2785768743E+01,-0.1931627560E+03,-0.1931627560E+03,0.1407270581E+02,0.5387748926E-01,0.7515238704E-01,0.2300512433E+07,-0.3077504945E+02,0.2300481657E+07
cisplatin-conf_1,0.1953862350E+03,0.9769545691E+02,0.9769077805E+02,0.1875544314E+02,0.3671568963E+06,-0.3671756518E+06,-0.3671568963E+06,-0.1468552564E+07,0.9999990142E+00,0.9990080926E+00,-0.2785763040E+01,-0.1931627704E+03,-0.1931627704E+03,0.1407271019E+02,0.5387204893E-01,0.7514657030E-01,0.2304282931E+07,-0.3077350009E+02,0.2304252158E+07
cisplatin-conf_2,0.1953864584E+03,0.9769561145E+02,0.9769084697E+02,0.1875452114E+02,0.3671572430E+06,-0.3671759975E+06,-0.3671572430E+06,-0.1468553954E+07,0.9999990143E+00,0.9990081432E+00,-0.2785769374E+01,-0.1931627562E+03,-0.1931627562E+03,0.1407264333E+02,0.5387288882E-01,0.7514625466E-01,0.2301497962E+07,-0.3077442031E+02,0.2301467188E+07
imifoplatin,0.1954952873E+03,0.9774585912E+02,0.9774942819E+02,0.1879646006E+02,0.3674048632E+06,-0.3674236597E+06,-0.3674048632E+06,-0.1469544267E+07,0.9999990117E+00,0.9990068486E+00,-0.1684701558E+00,-0.1931645165E+03,-0.1931645165E+03,0.1405460547E+02,0.4972735252E-01,0.7076741884E-01,0.2798447597E+07,-0.4466547840E+02,0.2798402932E+07
imifoplatin-conf_1,0.1954920268E+03,0.9774501077E+02,0.9774701600E+02,0.1878644972E+02,0.3673956144E+06,-0.3674144009E+06,-0.3673956144E+06,-0.1469507312E+07,0.9999990127E+00,0.9990073494E+00,-0.1684480529E+00,-0.1931641844E+03,-0.1931641844E+03,0.1405525293E+02,0.4979525583E-01,0.7084475610E-01,0.2659859208E+07,-0.4400968280E+02,0.2659815198E+07
imifoplatin-conf_2,0.1954920524E+03,0.9774502393E+02,0.9774702843E+02,0.1878638128E+02,0.3673956573E+06,-0.3674144437E+06,-0.3673956573E+06,-0.1469507484E+07,0.9999990127E+00,0.9990073533E+00,-0.1684482264E+00,-0.1931641827E+03,-0.1931641827E+03,0.1405524460E+02,0.4979546735E-01,0.7084496280E-01,0.2659279862E+07,-0.4400971874E+02,0.2659235852E+07
imifoplatin-conf_3,0.1954919281E+03,0.9774389700E+02,0.9774803111E+02,0.1878763922E+02,0.3673949354E+06,-0.3674137230E+06,-0.3673949354E+06,-0.1469504591E+07,0.9999990126E+00,0.9990072858E+00,-0.1684473842E+00,-0.1931643031E+03,-0.1931643031E+03,0.1405198996E+02,0.4985391913E-01,0.7093796867E-01,0.2714688030E+07,-0.4399452087E+02,0.2714644036E+07
iproplatin,0.1955686761E+03,0.9778141887E+02,0.9778725723E+02,0.1871097983E+02,0.3675277716E+06,-0.3675464826E+06,-0.3675277716E+06,-0.1470036242E+07,0.9999990219E+00,0.9990119783E+00,-0.5080940959E+00,-0.1931650385E+03,-0.1931650385E+03,0.1403524768E+02,0.5020732760E-01,0.7163544459E-01,0.3156835885E+07,-0.4217325465E+02,0.3156793711E+07
iproplatin-conf_1,0.1955718347E+03,0.9778302045E+02,0.9778881424E+02,0.1870855341E+02,0.3675320751E+06,-0.3675507836E+06,-0.3675320751E+06,-0.1470053466E+07,0.9999990222E+00,0.9990121329E+00,-0.5081253578E+00,-0.1931649015E+03,-0.1931649015E+03,0.1403495338E+02,0.4994077950E-01,0.7114192833E-01,0.3113738630E+07,-0.4260259976E+02,0.3113696027E+07
iproplatin-conf_10,0.1955728626E+03,0.9778372029E+02,0.9778914230E+02,0.1870662943E+02,0.3675380949E+06,-0.3675568015E+06,-0.3675380949E+06,-0.1470077553E+07,0.9999990224E+00,0.9990122430E+00,-0.5081355312E+00,-0.1931647562E+03,-0.1931647562E+03,0.1403449693E+02,0.5043896182E-01,0.7178696384E-01,0.2975709850E+07,-0.4258081388E+02,0.2975667269E+07
iproplatin-conf_2,0.1955723338E+03,0.9778342905E+02,0.9778890473E+02,0.1871118808E+02,0.3675319288E+06,-0.3675506400E+06,-0.3675319288E+06,-0.1470052871E+07,0.9999990219E+00,0.9990119981E+00,-0.5081302974E+00,-0.1931651739E+03,-0.1931651739E+03,0.1403363272E+02,0.4989547878E-01,0.7115765569E-01,0.3264389713E+07,-0.4234658028E+02,0.3264347366E+07
iproplatin-conf_3,0.1955726382E+03,0.9778420266E+02,0.9778843553E+02,0.1869690083E+02,0.3675350971E+06,-0.3675537940E+06,-0.3675350971E+06,-0.1470065601E+07,0.9999990234E+00,0.9990127543E+00,-0.5081333103E+00,-0.1931646415E+03,-0.1931646415E+03,0.1403557289E+02,0.5029167297E-01,0.7157190816E-01,0.2926726749E+07,-0.4260347182E+02,0.2926684145E+07
iproplatin-conf_4,0.1955716651E+03,0.9778296738E+02,0.9778869772E+02,0.1870903707E+02,0.3675325153E+06,-0.3675512244E+06,-0.3675325153E+06,-0.1470055225E+07,0.9999990221E+00,0.9990121059E+00,-0.5081236791E+00,-0.1931649723E+03,-0.1931649723E+03,0.1403423174E+02,0.5022250657E-01,0.7153014621E-01,0.3134154616E+07,-0.4272504218E+02,0.3134111891E+07
iproplatin-conf_5,0.1955752738E+03,0.9778465916E+02,0.9779061465E+02,0.1870633177E+02,0.3675364792E+06,-0.3675551855E+06,-0.3675364792E+06,-0.1470071091E+07,0.9999990225E+00,0.9990122790E+00,-0.5081593964E+00,-0.1931650221E+03,-0.1931650221E+03,0.1403312436E+02,0.4991369105E-01,0.7115153466E-01,0.3180122065E+07,-0.4229593105E+02,0.3180079770E+07
iproplatin-conf_6,0.1955693171E+03,0.9778279511E+02,0.9778652201E+02,0.1867358474E+02,0.3675250584E+06,-0.3675437320E+06,-0.3675250584E+06,-0.1470025539E+07,0.9999990258E+00,0.9990139564E+00,-0.5081004404E+00,-0.1931639293E+03,-0.1931639293E+03,0.1403413023E+02,0.5032276636E-01,0.7160313859E-01,0.2719163068E+07,-0.4205940710E+02,0.2719121008E+07
iproplatin-conf_7,0.1955717272E+03,0.9778362847E+02,0.9778809874E+02,0.1870201887E+02,0.3675349441E+06,-0.3675536462E+06,-0.3675349441E+06,-0.1470064968E+07,0.9999990229E+00,0.9990124767E+00,-0.5081242940E+00,-0.1931648032E+03,-0.1931648032E+03,0.1403479712E+02,0.5048161695E-01,0.7182794571E-01,0.2990659174E+07,-0.4270527295E+02,0.2990616469E+07
iproplatin-conf_8,0.1955782028E+03,0.9778615001E+02,0.9779205280E+02,0.1865139596E+02,0.3675409085E+06,-0.3675595599E+06,-0.3675409085E+06,-0.1470089028E+07,0.9999990283E+00,0.9990152014E+00,-0.5081883865E+00,-0.1931639877E+03,-0.1931639877E+03,0.1403210389E+02,0.4977697360E-01,0.7086974244E-01,0.2769387103E+07,-0.4250646184E+02,0.2769344596E+07
iproplatin-conf_9,0.1955785744E+03,0.9778701554E+02,0.9779155885E+02,0.1869030653E+02,0.3675405878E+06,-0.3675592781E+06,-0.3675405878E+06,-0.1470087590E+07,0.9999990242E+00,0.9990131520E+00,-0.5081920642E+00,-0.1931650939E+03,-0.1931650939E+03,0.1403061925E+02,0.5016159101E-01,0.7151164835E-01,0.3223275237E+07,-0.4239462242E+02,0.3223232842E+07
lobaplatin,0.1954434794E+03,0.9771611750E+02,0.9772736193E+02,0.1873630799E+02,0.3672796514E+06,-0.3672983877E+06,-0.3672796514E+06,-0.1469043661E+07,0.9999990171E+00,0.9990095868E+00,-0.6634061803E+00,-0.1931633699E+03,-0.1931633699E+03,0.1403301415E+02,0.5082981402E-01,0.7233067002E-01,0.2432887477E+07,-0.3897722284E+02,0.2432848499E+07
