Molecule,4(N)_q(N)_Hirshfeld,4(N)_q(N+1)_Hirshfeld,4(N)_q(N-1)_Hirshfeld,4(N)_f-_Hirshfeld,4(N)_f+_Hirshfeld,4(N)_CDD_Hirshfeld,4(N)_f0_Hirshfeld,4(N)_f+f-_Hirshfeld,4(N)_q(N)/f+_Hirshfeld,4(N)_q(N)/CDD_Hirshfeld,4(N)_q(N)/f-_Hirshfeld,4(N)_q(N+1)/f+_Hirshfeld,4(N)_q(N+1)/CDD_Hirshfeld,4(N)_q(N+1)/f-_Hirshfeld,4(N)_q(N-1)/f+_Hirshfeld,4(N)_q(N-1)/CDD_Hirshfeld,4(N)_q(N-1)/f-_Hirshfeld
CHEMBL1743593-conf_6,-0.0688894883,-0.1117218856,-0.0552721422,0.0136173460999999,0.0428323973,0.0292150512,0.0282248717,0.0005832635783268,-1.608350049087726,-2.358013608410174,-5.058951119704596,-2.608350049087726,-3.824120821667428,-8.20438026466846,-1.2904284066304177,-1.89190639515292,-4.058951119704596
CHEMBL1743593-conf_7,-0.0701648484,-0.0931400656,-0.0562610298,0.0139038185999999,0.0229752172,0.0090713986,0.0184395179,0.0003194432522443,-3.053936238739887,-7.73473325270922,-5.046444463825214,-4.053936238739888,-10.267442729283204,-6.698883830374488,-2.448770312386861,-6.202023776135237,-4.046444463825214
CHEMBL1743593-conf_8,-0.0685533933,-0.1104314196,-0.0180955881,0.0504578052,0.0418780262999999,-0.0085797789,0.0461679157499999,0.0021130732932058,-1.6369776552721638,-7.990111878057836,-1.3586281255848205,-2.636977655272164,-12.87112650420397,-2.18858943947883,-0.4321022192012903,-2.109097251911701,-0.3586281255848204
CHEMBL1743593-conf_9,-0.0707840067,-0.1122400433,-0.0583169202,0.0124670865,0.0414560365999999,0.0289889500999999,0.02696156155,0.0005168359942393,-1.7074475156170623,-2.441758202895386,-5.677670296103263,-2.707447515617062,-3.871821604881097,-9.002908843216895,-1.406717211360239,-2.011694800909676,-4.677670296103263
CHEMBL1743594,-0.0560220204,-0.0830828326,-0.0543708789,0.0016511414999999,0.0270608122,0.0254096707,0.01435597685,4.4681230047126166e-05,-2.0702268648093267,-2.204751925415545,-33.92926675272845,-3.0702268648093267,-3.2697327557259515,-50.31842068048091,-2.009210902398561,-2.1397710951051394,-32.92926675272845
CHEMBL1743594-conf_1,-0.076858007,-0.0970698667,-0.0651696787,0.0116883283,0.0202118596999999,0.0085235313999999,0.0159500939999999,0.0002362428517271,-3.802619261205344,-9.017155377640798,-6.575620142360302,-4.802619261205344,-11.38845651463198,-8.304854570178348,-3.2243286697661,-7.645854240649617,-5.575620142360302
CHEMBL1743594-conf_10,-0.063530375,-0.0783729744,-0.0604406012,0.0030897738,0.0148425994,0.0117528256,0.0089661866,4.586027475001574e-05,-4.280272834150599,-5.4055405195496125,-20.56149709082263,-5.280272834150599,-6.668436771494337,-25.36527897284908,-4.0721035157763525,-5.142644267604888,-19.56149709082263
CHEMBL1743594-conf_2,-0.0640624796,-0.077008854,-0.0684434825,0.0043810029,0.0129463744,0.0085653715,0.00866368865,5.6718103790885766e-05,-4.948294991376118,-7.479241221469493,-14.622788676994483,-5.948294991376118,-8.99071966697533,-17.577905278264026,-5.286691114077466,-7.99071966697533,-15.622788676994483
CHEMBL1743594-conf_3,-0.0584692258,-0.0762285299,-0.0635282272,0.0050590013999999,0.0177593040999999,0.0127003026999999,0.0114091527499999,8.984434430492556e-05,-3.292315142010549,-4.603766318105159,-11.55746385047454,-4.292315142010549,-6.002103390811307,-15.067900534678666,-3.5771799864612954,-5.002103390811307,-12.55746385047454
CHEMBL1743594-conf_4,-0.0747099186,,-0.0679956396,0.0067142789999999,,,,,,,-11.127020280211786,,,,,,-10.127020280211786
